date, pm25, pm10, o3, no2, so2, co
2026/1/6, 228, 145, 26, 17, 2, 3
2026/1/7, 206, 175, 27, 31, 6, 8
2026/1/8, 226, 244, 24, 35, 8, 11
2026/1/9, 283, 183, 32, 26, 6, 11
2026/1/10, 236, 141, 34, 24, 2, 7
2026/1/11, 208, 164, 44, 29, 1, 9
2026/1/12, 219, 255, 41, 32, 5, 18
2026/1/13, 299, 225, 45, 30, 1, 14
2026/1/14, 295, 180, 37, 28, 3, 17
2026/1/15, 256, 182, 50, 30, 6, 20
2026/1/16, 251, 458, 39, 38, 10, 32
2026/1/17, 390, 400, 30, 29, 14, 7
2026/1/18, 383, 328, 46, 35, 12, 18
2026/1/19, 345, 235, 47, 30, 7, 3
2026/1/20, 272, 186, 41, 30, 5, 9
2026/1/21, 241, 218, 42, 35, 6, 12
2026/1/22, 234, 133, 27, 24, 2, 7
2026/1/23, 194, 115, 33, 14, 5, 6
2026/1/24, 138, 108, 37, 17, 22, 5
2026/1/25, 157, 129, 48, 28, 26, 6
2026/1/26, 188, 189, 10, 28, 27, 15
2026/1/27, 242, 115, 19, 20, 22, 9
2026/1/28, 190, 114, 24, 17, 23, 6
2026/1/29, 178, 137, 48, 26, 26, 5
2026/1/30, 189, 234, 26, 27, 30, 10
2026/1/31, 267, 104, 26, 22, 26, 28
2026/2/1, 167, 122, 15, 19, 1, 8
2026/2/2, 184, 138, 48, 26, 5, 13
2026/2/3, 189, 227, 48, 25, 7, 24
2026/2/4, 249, 128, 56, 24, 5, 7
2026/2/5, 180, 125, 29, 27, 24, 6
2026/2/6, 175, 132, 42, 25, 25, 45
2026/2/7, 177, 124, 46, 25, 26, 66
2026/2/8, 155, 207, 39, 35, 29, 99
2026/2/9, 191, 272, 38, 36, 30, 100
2026/2/10, 196, 255, 47, 31, 23, 22
2026/2/11, 207, 118, 53, 24, 6, 31
2026/2/12, 146, 137, 58, 28, 5, 63
2026/2/13, 153, 197, 67, 31, 4, 4
2026/2/14, 176, 205, 66, 29, 4, 
2026/2/15, 169, 226, 75, 32, 5, 8
2026/2/16, 181, 145, 38, 33, 4, 4
2026/2/17, 153, 119, 12, 30, 4, 5
2026/2/18, 162, 120, 75, 29, 4, 4
2026/2/19, 177, 116, 69, 25, 3, 2
2026/2/20, 171, 124, 70, 27, 4, 4
2026/2/21, 175, 131, 68, 30, 3, 8
2026/2/22, 171, 128, 67, 31, 6, 6
2026/2/23, 157, 141, 64, 31, 5, 11
2026/2/24, 168, 123, 63, 26, 7, 17
2026/2/25, 157, 96, 53, 32, 7, 7
2026/2/26, 123, 87, 70, 16, 7, 6
2026/2/27, 117, 133, 94, 26, 5, 9
2026/2/28, 149, 122, 10, 41, 10, 12
2026/3/1, 158, 126, 53, 27, 8, 10
2026/3/2, 162, 122, 45, 20, 4, 9
2026/3/3, 157, 126, 6, 34, 7, 13
2026/3/4, 167, 112, 37, 18, 4, 8
2026/3/5, 136, 113, 49, 26, 5, 8
2026/3/6, 151, 143, 54, 29, 3, 6
2026/3/7, 174, 138, 63, 30, 5, 10
2026/3/8, 164, 137, 44, 26, 5, 5
2026/3/9, 175, 143, 57, 29, 5, 4
2026/3/10, 178, 158, 55, 31, 4, 5
2026/3/11, 160, 162, 48, 33, 5, 6
2026/3/12, 150, 115, 40, 18, 6, 1
2026/3/13, 134, 108, 60, 20, 8, 5
2026/3/14, 131, 104, 33, 22, 7, 4
2026/3/15, 110, 97, 43, 20, 7, 2
2026/3/16, 105, 108, 91, 21, 8, 4
2026/3/17, 130, 131, 102, 26, 9, 6
2026/3/19, 134, 54, 21, 17, 4, 4
2026/3/20, 104, 80, 51, 15, 7, 5
2026/3/21, 123, 92, 48, 18, 5, 22
2026/3/22, 129, 89, 46, 24, 5, 31
2026/3/23, 129, 114, 52, 20, 5, 6
2026/3/24, 146, 115, 56, 26, 6, 5
2026/3/25, 143, 131, 75, 27, 5, 3
2026/3/26, 147, 87, 37, 24, 6, 4
2026/3/27, 119, 104, 53, 25, 8, 3
2026/3/28, 135, 144, 47, 26, 6, 2
2026/3/29, 158, 131, 36, 28, 5, 3
2026/3/30, 134, 96, 40, 23, 4, 2
2026/3/31, 117, 77, 57, 24, 5, 4
2025/10/1, 100, 66, 29, 20, 3, 140
2025/10/2, 104, 57, 15, 19, 3, 83
2025/10/3, 77, 88, 1, 23, 3, 13
2025/10/4, 135, 95, 1, 27, 4, 10
2025/10/5, 138, 56, 1, 23, 3, 7
2025/10/6, 80, 38, 1, 20, 3, 6
2025/10/7, 61, 65, 4, 23, 3, 8
2025/10/8, 106, 81, 2, 18, 3, 6
2025/10/9, 113, 127, 2, 24, 4, 8
2025/10/10, 154, 128, 34, 24, 4, 14
2025/10/11, 158, 117, 34, 23, 4, 9
2025/10/12, 146, 134, 34, 30, 3, 6
2025/10/13, 161, 129, 13, 32, 3, 6
2025/10/14, 160, 142, 12, 37, 4, 10
2025/10/15, 167, 155, 1, 37, 4, 10
2025/10/16, 171, 163, 1, 38, 6, 9
2025/10/17, 178, 164, 48, 39, 6, 7
2025/10/18, 185, 211, 48, 37, 6, 3
2025/10/19, 209, 287, 21, 34, 5, 4
2025/10/20, 279, 473, 31, 30, 12, 8
2025/10/21, 498, 232, 49, 30, 4, 9
2025/10/22, 278, 159, 65, 35, 3, 6
2025/10/23, 205, 157, 74, 36, 5, 9
2025/10/24, 182, 171, 88, 52, 4, 12
2025/10/25, 194, 150, 80, 43, 6, 16
2025/10/26, 193, 171, 31, 40, 6, 14
2025/10/27, 203, 153, 39, 41, 7, 5
2025/10/28, 199, 163, 59, 39, 7, 6
2025/10/29, 209, 221, 17, 45, 7, 11
2025/10/30, 249, 128, 44, 28, 7, 6
2025/10/31, 174, 275, 37, 35, 7, 10
2025/11/1, 271, 235, 18, 35, 7, 8
2025/11/2, 249, 169, 6, 37, 8, 10
2025/11/3, 195, 159, 24, 39, 6, 16
2025/11/4, 187, 95, 29, 28, 5, 1
2025/11/5, 172, 152, 45, 25, 8, 6
2025/11/6, 258, 157, 56, 33, 8, 9
2025/11/7, 271, 174, 55, 39, 8, 7
2025/11/8, 307, 174, 59, 40, 9, 3
2025/11/9, 261, 341, 64, 50, 10, 12
2025/11/10, 307, 392, 68, 48, 8, 12
2025/11/11, 340, 413, 68, 43, 10, 10
2025/11/12, 357, 391, 63, 46, 9, 11
2025/11/13, 337, 321, 60, 44, 10, 8
2025/11/14, 275, 310, 66, 43, 9, 8
2025/11/15, 282, 284, 66, 38, 10, 8
2025/11/16, 269, 280, 65, 39, 10, 13
2025/11/17, 250, 290, 67, 41, 10, 20
2025/11/18, 262, 323, 53, 52, 10, 18
2025/11/19, 289, 340, 50, 53, 8, 19
2025/11/20, 282, 242, 43, 36, 8, 16
2025/11/21, 243, 256, 53, 34, 8, 12
2025/11/22, 250, 316, 53, 42, 4, 3
2025/11/23, 278, 304, 58, 41, 4, 13
2025/11/24, 279, 242, 53, 37, 3, 12
2025/11/25, 238, 271, 63, 42, 4, 12
2025/11/26, 234, 383, 2, 46, 7, 20
2025/11/27, 297, 283, 2, 43, 3, 13
2025/11/28, 271, 170, 2, 36, 3, 10
2025/11/29, 204, 176, 2, 36, 4, 13
2025/11/30, 207, 209, 2, 42, 4, 19
2025/12/1, 222, 394, 11, 50, 3, 17
2025/12/2, 300, 180, 61, 37, 3, 1
2025/12/3, 213, 188, 72, 34, 4, 4
2025/12/4, 224, 208, 80, 41, 3, 9
2025/12/5, 225, 199, 68, 36, 4, 6
2025/12/6, 228, 177, 70, 36, 4, 7
2025/12/7, 213, 166, 70, 37, 3, 6
2025/12/8, 202, 148, 70, 33, 4, 5
2025/12/9, 190, 158, 59, 34, 4, 2
2025/12/10, 189, 186, 66, 37, 5, 10
2025/12/11, 206, 271, 71, 46, 4, 18
2025/12/12, 262, 475, 42, 47, 8, 23
2025/12/13, 365, 524, 31, 37, 10, 23
2025/12/14, 414, 328, 58, 31, 9, 15
2025/12/15, 325, 184, 57, 29, 6, 7
2025/12/16, 226, 168, 56, 27, 2, 6
2025/12/17, 232, 306, 21, 28, 3, 11
2025/12/18, 298, 241, 36, 28, 4, 13
2025/12/19, 270, 283, 4, 24, 5, 12
2025/12/20, 300, 223, 10, 22, 6, 8
2025/12/21, 255, 305, 25, 29, 8, 12
2025/12/22, 286, 309, 42, 27, 6, 14
2025/12/23, 316, 117, 39, 22, 7, 6
2025/12/24, 173, 139, 55, 26, 8, 8
2025/12/25, 192, 196, 45, 27, 6, 10
2025/12/26, 244, 285, 40, 30, 4, 12
2025/12/27, 309, 315, 46, 29, 4, 13
2025/12/28, 319, , , , , 
2025/7/1, 63, 55, 31, 21, 2, 8
2025/7/2, 55, 56, 26, 15, 2, 6
2025/7/3, 77, 50, 16, 15, 1, 7
2025/7/4, 62, 66, 76, 17, 2, 9
2025/7/5, 77, 51, 75, 14, 1, 8
2025/7/6, 67, 36, 35, 18, 7, 9
2025/7/7, 51, 63, 40, 19, 2, 37
2025/7/8, 68, 41, 38, 15, 2, 65
2025/7/9, 49, 28, 35, 20, 2, 76
2025/7/10, 41, 57, 36, 25, 5, 
2025/7/12, 79, 52, 37, 20, 4, 
2025/7/13, 70, 34, 36, 19, 4, 
2025/7/14, 44, 32, 35, 17, 4, 
2025/7/15, 42, 49, 36, 18, 4, 9
2025/7/16, 60, 45, 26, 19, 4, 7
2025/7/17, 44, 36, 27, 15, 4, 8
2025/7/18, 46, 39, 26, 15, 3, 8
2025/7/19, 44, 51, 29, 16, 4, 9
2025/7/20, 48, 63, 29, 19, 4, 11
2025/7/21, 70, 56, 28, 17, 3, 11
2025/7/22, 71, 53, 8, 20, 4, 14
2025/7/23, 59, 65, 27, 15, 4, 10
2025/7/24, 65, 76, 14, 15, 4, 11
2025/7/25, 79, 49, 28, 16, 4, 11
2025/7/26, 52, 66, 33, 23, 4, 12
2025/7/27, 62, 68, 20, 20, 4, 13
2025/7/28, 99, 34, 27, 17, 3, 13
2025/7/29, 56, 38, 29, 15, 3, 12
2025/7/30, 55, 25, 29, 18, 5, 10
2025/7/31, 46, 43, 33, 16, 5, 9
2025/8/1, 53, 61, 30, 15, 5, 8
2025/8/2, 51, 62, 35, 16, 5, 8
2025/8/3, 52, 75, 30, 19, 5, 9
2025/8/4, 61, 63, 25, 20, 5, 9
2025/8/5, 57, 69, 27, 19, 5, 9
2025/8/6, 70, 74, 28, 17, 5, 9
2025/8/7, 64, 77, 25, 17, 5, 9
2025/8/8, 57, 32, 40, 14, 5, 9
2025/8/9, 29, 72, 23, 8, 5, 8
2025/8/10, 76, 83, 20, 19, 6, 9
2025/8/11, 75, 62, 38, 17, 6, 8
2025/8/12, 74, 79, 54, 19, 6, 11
2025/8/13, 73, 37, 48, 20, 5, 11
2025/8/14, 54, 53, 44, 18, 6, 11
2025/8/15, 93, 62, 48, 19, 5, 12
2025/8/16, 105, 59, 36, 18, 2, 11
2025/8/17, 83, 56, 35, 17, 2, 11
2025/8/18, 81, 57, 14, 18, 3, 11
2025/8/19, 79, 56, 16, 23, 4, 11
2025/8/20, 100, 52, 28, 16, 3, 11
2025/8/21, 64, 69, 23, 26, 1, 15
2025/8/22, 106, 52, 35, 22, 1, 12
2025/8/23, 74, 40, 26, 23, 1, 12
2025/8/24, 56, 44, 13, 25, 1, 13
2025/8/25, 75, 44, 12, 27, 2, 17
2025/8/26, 66, 63, 14, 36, 5, 22
2025/8/27, 78, 96, 31, 23, 1, 18
2025/8/28, 120, 56, 6, 15, 2, 8
2025/8/29, 86, 51, 8, 15, 3, 9
2025/8/30, 60, 50, 7, 16, 3, 8
2025/8/31, 61, 29, 9, 19, 2, 8
2025/9/1, 30, 23, 9, 16, 4, 8
2025/9/2, 33, 28, 9, 19, 4, 10
2025/9/3, 46, 43, 10, 17, 4, 10
2025/9/4, 54, 44, 7, 17, 4, 9
2025/9/5, 51, 48, 6, 15, 4, 9
2025/9/6, 62, , , , , 
2025/9/8, 27, 65, 8, 29, 5, 5
2025/9/9, 54, 60, 10, 19, 5, 5
2025/9/10, 39, 76, 8, 28, 6, 28
2025/9/11, 53, 89, 8, 33, 3, 78
2025/9/12, 76, 102, 12, 26, 5, 77
2025/9/13, 70, 141, 9, 23, 4, 76
2025/9/14, 95, 129, 11, 23, 3, 60
2025/9/15, 83, 119, 17, 22, 4, 23
2025/9/16, 87, 84, 17, 24, 4, 19
2025/9/17, 117, 92, 14, 30, 4, 40
2025/9/18, 116, 112, 4, 28, 3, 46
2025/9/19, 163, , , , , 
2025/9/25, 70, 88, 22, 21, 3, 58
2025/9/26, 87, 105, 42, 25, 3, 66
2025/9/27, 130, 81, 15, 20, 4, 88
2025/9/28, 92, 76, 19, 24, 4, 113
2025/9/29, 89, 90, 8, 24, 3, 120
2025/9/30, 109, 62, 40, 23, 3, 133
2025/4/1, 92, 125, 32, 42, 5, 9
2025/4/2, 128, 116, 24, 45, 2, 12
2025/4/3, 118, 121, 24, 48, 5, 12
2025/4/4, 107, 97, 35, 51, 4, 10
2025/4/5, 100, 108, 37, 62, 4, 12
2025/4/6, 128, 148, 32, 55, 6, 25
2025/4/7, 145, 144, 30, 45, 5, 15
2025/4/8, 151, 146, 27, 38, 5, 14
2025/4/9, 157, 182, 29, 32, 4, 11
2025/4/10, 132, 176, 20, 18, 6, 10
2025/4/11, 84, 67, 53, 15, 5, 8
2025/4/12, 80, 81, 67, 25, 6, 10
2025/4/13, 95, 112, 37, 24, 5, 12
2025/4/14, 116, 106, 30, 23, 4, 11
2025/4/15, 114, 124, 30, 24, 6, 12
2025/4/16, 139, 122, 22, 28, 5, 13
2025/4/17, 116, 139, 33, 23, 5, 10
2025/4/18, 133, 99, 24, 19, 4, 9
2025/4/19, 104, 99, 26, 22, 2, 10
2025/4/20, 103, 139, 28, 28, 5, 11
2025/4/21, 154, 134, 31, 28, 12, 10
2025/4/22, 113, 126, 35, 23, 12, 9
2025/4/23, 110, 137, 40, 28, 14, 21
2025/4/24, 130, 159, 45, 29, 8, 32
2025/4/25, 137, 129, 41, 31, 8, 35
2025/4/26, 134, 148, 75, 24, 10, 28
2025/4/27, 111, 159, 68, 24, 10, 34
2025/4/28, 156, 125, 36, 16, 8, 35
2025/4/29, 118, 119, 43, 16, 10, 29
2025/4/30, 134, 113, 47, 14, 8, 7
2025/5/1, 137, 89, 23, 21, 5, 9
2025/5/2, 106, 115, 27, 33, 2, 22
2025/5/3, 144, 123, 36, 32, 3, 28
2025/5/4, 139, 77, 27, 25, 2, 27
2025/5/5, 85, 92, 35, 30, 4, 32
2025/5/6, 106, 86, 38, 22, 2, 35
2025/5/7, 110, 105, 33, 29, 6, 31
2025/5/8, 132, 79, 28, 29, 4, 14
2025/5/9, 88, 115, 28, 32, 8, 16
2025/5/10, 142, 103, 40, 22, 4, 17
2025/5/11, 121, 85, 49, 20, 3, 15
2025/5/12, 88, 83, 34, 19, 4, 2
2025/5/13, 57, 86, , 23, 4, 4
2025/5/14, 79, 358, 41, 25, 7, 6
2025/5/15, 132, 166, 45, 32, 8, 11
2025/5/16, 132, 89, 39, 24, 4, 5
2025/5/17, 80, 106, 52, 22, 5, 7
2025/5/18, 110, 127, 52, 21, 10, 10
2025/5/19, 149, 134, 42, 20, 8, 22
2025/5/20, 141, 132, 38, 18, 5, 16
2025/5/21, 133, 61, 29, 23, 14, 12
2025/5/22, 57, 72, 35, 20, 4, 23
2025/5/23, 96, 92, 35, 19, 5, 11
2025/5/24, 117, 108, 37, 14, 5, 9
2025/5/25, 99, 65, 34, 22, 8, 7
2025/5/26, 69, 76, 45, 21, 5, 5
2025/5/27, 102, 88, 40, 23, 4, 7
2025/5/28, 117, 96, 43, 20, 5, 5
2025/5/29, 111, 105, 32, 31, 5, 6
2025/5/30, 112, 141, 48, 30, 5, 10
2025/5/31, 120, 136, 33, 18, 4, 3
2025/6/1, 80, 90, 47, 19, 4, 3
2025/6/2, 78, 86, 43, 24, 5, 4
2025/6/3, 73, 102, 49, 19, 6, 4
2025/6/4, 84, 99, 79, 19, 5, 4
2025/6/5, 86, 92, 45, 23, 4, 5
2025/6/6, 76, 124, 41, 26, 4, 9
2025/6/7, 128, 125, 44, 26, 6, 8
2025/6/8, 111, 141, 39, 25, 5, 7
2025/6/9, 122, 145, 36, 19, 6, 5
2025/6/10, 80, 149, 61, 18, 5, 9
2025/6/11, 115, 111, 39, 14, 5, 6
2025/6/12, 130, 109, 30, 14, 4, 6
2025/6/13, 111, 96, 33, 15, 1, 7
2025/6/14, 114, 107, 68, 12, 4, 7
2025/6/15, 136, 64, 22, 17, 5, 37
2025/6/16, 78, 52, 36, 13, 4, 45
2025/6/17, 77, 58, 51, 15, 6, 16
2025/6/18, 87, 51, 25, 14, 3, 20
2025/6/19, 58, 52, 45, 12, 3, 25
2025/6/20, 68, 54, 48, 13, 2, 30
2025/6/21, 74, 62, 44, 13, 3, 34
2025/6/22, 84, 67, 46, 12, 3, 23
2025/6/23, 97, 64, 21, 12, 1, 6
2025/6/24, 83, 76, 24, 12, 1, 7
2025/6/25, 117, 59, 51, 10, 3, 5
2025/6/26, 73, 54, 32, 9, 3, 5
2025/6/27, 57, 60, 50, 13, 3, 6
2025/6/28, 68, 54, 49, 12, 3, 6
2025/6/29, 80, 48, 23, 14, 2, 7
2025/6/30, 68, 49, 27, 13, 3, 6
2025/1/1, 239, 152, 18, 24, 3, 13
2025/1/2, 215, 187, 4, 22, 5, 20
2025/1/3, 247, 236, 13, 47, 2, 22
2025/1/4, 330, 150, 12, 25, 4, 13
2025/1/5, 213, 139, 18, 24, 4, 11
2025/1/6, 212, 132, 18, 19, 3, 10
2025/1/7, 199, 132, 30, 32, 5, 14
2025/1/8, 209, 227, 23, 51, 4, 29
2025/1/9, 303, 251, 9, 35, 3, 27
2025/1/10, 302, 133, 13, 34, 3, 10
2025/1/11, 202, 108, 14, 30, 4, 12
2025/1/12, 187, 99, 15, 26, 3, 6
2025/1/13, 175, 133, 32, 29, 4, 12
2025/1/14, 201, 211, 9, 30, 4, 27
2025/1/15, 287, 127, 19, 31, 6, 15
2025/1/16, 201, 124, 17, 30, 4, 10
2025/1/17, 198, 129, 24, 29, 3, 8
2025/1/18, 189, 199, 31, 38, 5, 27
2025/1/19, 258, 142, 28, 34, 3, 10
2025/1/20, 205, 120, 17, 34, 3, 4
2025/1/21, 183, 112, 3, 36, 4, 8
2025/1/22, 170, 103, 13, 34, 3, 13
2025/1/23, 164, 94, 35, 31, 3, 11
2025/1/24, 151, 93, 36, 37, 3, 12
2025/1/25, 127, 99, 52, 32, 4, 12
2025/1/26, 157, 123, 49, 35, 3, 15
2025/1/27, 174, 134, 54, 37, 4, 19
2025/1/28, 177, 252, 32, 39, 4, 36
2025/1/29, 267, 170, 34, 39, 3, 21
2025/1/30, 218, 178, 46, 30, 3, 30
2025/1/31, 225, 165, 29, 36, 3, 25
2025/2/1, 220, 143, 27, 27, 3, 13
2025/2/2, 199, 115, 37, 29, 3, 13
2025/2/3, 164, 154, 31, 46, 5, 22
2025/2/4, 193, 109, 35, 29, 2, 10
2025/2/5, 159, 99, 37, 29, 3, 7
2025/2/6, 153, 91, 31, 25, 3, 6
2025/2/7, 136, 95, 40, 31, 5, 7
2025/2/8, 142, 112, 45, 41, 4, 13
2025/2/9, 159, 137, 34, 47, 5, 23
2025/2/10, 174, 140, 45, 42, 4, 27
2025/2/11, 178, 107, 30, 29, 3, 12
2025/2/12, 132, 85, 36, 21, 5, 4
2025/2/13, 115, 90, 39, 31, 5, 5
2025/2/14, 115, 118, 44, 48, 6, 15
2025/2/15, 156, 168, 45, 42, 4, 21
2025/2/16, 198, 115, 43, 44, 5, 16
2025/2/17, 160, 117, 28, 43, 4, 15
2025/2/18, 141, 110, 36, 39, 3, 11
2025/2/19, 141, 81, 20, 34, 3, 7
2025/2/20, 114, 92, 40, 30, 3, 7
2025/2/21, 156, 73, 34, 22, 2, 5
2025/2/22, 128, 78, 39, 27, 3, 7
2025/2/23, 131, 97, 42, 28, 3, 11
2025/2/24, 147, 103, 51, 32, 4, 14
2025/2/25, 148, 147, 37, 44, 4, 20
2025/2/26, 164, 94, 14, 32, 4, 12
2025/2/27, 120, 74, 11, 26, 3, 6
2025/2/28, 107, 69, 21, 22, 3, 6
2025/3/1, 112, 66, 27, 21, 3, 6
2025/3/2, 98, 87, 34, 33, 4, 7
2025/3/3, 114, 86, 31, 19, 3, 4
2025/3/4, 102, 81, 30, 12, 4, 2
2025/3/5, 62, 80, 36, 20, 5, 5
2025/3/6, 83, 106, 41, 28, 5, 13
2025/3/7, 134, 91, 40, 28, 4, 9
2025/3/8, 121, 125, 34, 34, 4, 17
2025/3/9, 153, 120, 29, 33, 5, 11
2025/3/10, 154, 134, 55, 32, 5, 15
2025/3/11, 161, 111, 35, 25, 4, 9
2025/3/12, 140, 108, 41, 24, 6, 7
2025/3/13, 140, 142, 27, 24, 5, 15
2025/3/14, 149, 61, 27, 15, 5, 2
2025/3/15, 60, 64, 33, 16, 6, 2
2025/3/16, 89, 69, 34, 18, 6, 3
2025/3/17, 101, 76, 31, 24, 4, 6
2025/3/18, 97, 96, 37, 26, 5, 8
2025/3/19, 116, 92, 30, 26, 4, 10
2025/3/20, 106, 95, 30, 23, 6, 6
2025/3/21, 113, 91, 36, 25, 6, 8
2025/3/22, 115, 96, 43, 26, 5, 8
2025/3/23, 123, 103, 38, 26, 5, 12
2025/3/24, 133, 125, 39, 28, 6, 13
2025/3/25, 144, 101, 27, 27, 6, 12
2025/3/26, 93, 147, 21, 26, 6, 20
2025/3/27, 118, 135, 30, 19, 6, 5
2025/3/28, 92, 92, 34, 18, 6, 1
2025/3/29, 71, 78, 35, 21, 6, 3
2025/3/30, 79, 89, 34, 26, 8, 4
2025/3/31, 113, 94, 30, 33, 4, 4
2024/10/1, 133, 99, 35, 23, 3, 7
2024/10/2, 137, 95, 41, 21, 4, 12
2024/10/3, 116, 108, 33, 23, 6, 15
2024/10/4, 126, 144, 24, 19, 8, 13
2024/10/5, 108, 96, 38, 19, 6, 5
